id,paper,exam_round,year,question_number,variant,taxonomy_code,prompt_md,option_a,option_b,option_c,option_d,option_e,answer,explanation_md,question_type,source_ref,review_status,enabled,updated_at
mock-p1-r2-y107-q020,p1,2,107,20,,,有關餐旅業(Hospitality Industry)特性之敘述，下列何者正確？甲、銷售商品不易具體呈現，也無法預先生產或接觸乙、以提供勞務產品為主，所有生產活動主要透過顧客勞動完成丙、提供的商品消費與體驗同時進行丁、產品生產過程顧客介入程度不高戊、服務提供重視標準化流程，但服務細項與內容可依顧客需求彈性調整己、商品訂購有截止期限，超過期限只要稍經處理還能繼續使用,甲丙戊,乙丙丁,乙戊己,甲丙丁,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q20,needs-review,FALSE,
mock-p1-r2-y107-q021,p1,2,107,21,,,宥宥餐廳是獨資餐廳，辰辰餐廳是連鎖餐廳，有關二家餐廳之敘述，下列何者錯誤？,宥宥餐廳業者擁有店面所有權及決策自主管理權<sup>,</sup> <sup>辰辰餐廳店面所有權歸屬於加盟連鎖總部</sup>,宥宥餐廳可統一探購，降低成本,辰辰餐廳較具市場開拓及品牌建立優勢,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q21,needs-review,FALSE,
mock-p1-r2-y107-q022,p1,2,107,22,,,如依餐廳提供的「服務精緻度」區分餐廳等級，由低至高正確排序為何？,Gourmet Restaurant  Family Restaurant  Filling station  Atmosphere Restaurant,Filling station Restaurant  Atmosphere Restaurant  Family Restaurant  Gourmet Restaurant,Atmosphere Restaurant  Family Restaurant  Gourmet Restaurant  Filling station,Filling station  Family Restaurant  Atmosphere Restaurant  Gourmet Restaurant,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q22,needs-review,FALSE,
mock-p1-r2-y107-q023,p1,2,107,23,,,祐祐和花花相約前往「珍饌餐廳」用餐，席間有專責的服務人員為二人迎賓帶位、點餐及送餐﹔試問敘述中為祐祐和花花服務的「專責服務人員」應為下列何者？甲、Captain 乙、Manager 丙、Greeter 丁、Bus boy,甲乙,丙丁,甲丙,乙丁,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q23,needs-review,FALSE,
mock-p1-r2-y107-q024,p1,2,107,24,,,菜菜和噹噹同為宥辰旅館工作伙伴，菜菜負責客房預訂、取消或更改等作業；噹噹負責 Wake UpCall 作業。由此可知，菜菜和噹噹二人在宥宸旅館中的職稱分別為何？甲、Bell Man 乙、Door Man 丙、Reservation Clerk 丁、Operator,甲乙,甲丁,甲丙,丙丁,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q24,needs-review,FALSE,
mock-p1-r2-y107-q025,p1,2,107,25,,,下列旅館服務項目中，何者非屬「Uniform Service」職責範疇？,新進員工制服之修改隸屬 Seamstress 職責,「Lost & Found」隸屬 Room Clerk 職責,館內嚮導、傳達、尋人及其他零瑣差使隸屬Bell Man 職責,館內緊急廣播隸屬 Operator 職責,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q25,needs-review,FALSE,
mock-p1-r2-y107-q027,p1,2,107,27,,,有關餐飲人員專業職稱用語之組合，下列何者錯誤？,Bartender－侍酒師,Receptionist－接待員,Butcher Cook－切割廚師,Commis de Rang－助理服務員,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q27,needs-review,FALSE,
mock-p1-r2-y107-q028,p1,2,107,28,,,有關餐廳組織結構類型之敘述，下列何者錯誤？,功能型組織－以工作內容和性質為部門劃分依據，並將同性質工作專長員工編制於同一單位,產品型組織－採分權決策、權責分明、盈虧易見為其組織運作特色，且可建構利潤中心制，以便分配計算獎金或紅利。適合實施利潤中心制,專案型組織－因應某一項專案活動臨時組成的動態組織，待專案活動完成，此一動態組織人員即回歸原屬部門,簡單型組織－指揮系統由上而下，部門單位屬於直線式的互動關係,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q28,needs-review,FALSE,
mock-p1-r2-y107-q029,p1,2,107,29,,,廚房作業區域劃分有：①「調理區」、②「配膳區」、③「洗滌區」，如依生產製備過程之汙染程度排序，由低至高正確順序為何？,①②③,① ③②,②①③,②③①,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q29,needs-review,FALSE,
mock-p1-r2-y107-q030,p1,2,107,30,,,有關餐廳廚房格局類型之敘述，下列何者錯誤？,「島嶼式排列」：將烹調設備集中設置於廚房中央，僅需少量的通風設備,「面對面平行排列」：將空調設備分置廚房兩側，工作檯置中央，適合供應團膳的廚房,「U 型排列」：適用於空間大、工作人員與設備也多的廚房，如機關團體團膳廚房,「直線式排列」：將烹調設備排列成直線，並於爐灶上方設計長條狀通風設備系統，適合各種大小餐廳廚房使用,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q30,needs-review,FALSE,
mock-p1-r2-y107-q031,p1,2,107,31,,,有關餐廳空調設計之敘述，下列何者錯誤？,顧客用餐區應保持負壓狀態,廚房作業區氣壓應小於供膳場所,廚房作業區溫度應低於顧客用餐區,內外場適宜的相對濕度應維持於 50\~60%,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q31,needs-review,FALSE,
mock-p1-r2-y107-q032,p1,2,107,32,,,下列刀具種類及功能說明何者錯誤？,Butcher Knife：用於切割和修整肉類,Boning Knife：用於剔除肉中的骨頭,Tourne Knife：用於切割橄欖型馬鈴薯或紅蘿蔔,Clam Knife：專供開蠔之用,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q32,needs-review,FALSE,
mock-p1-r2-y107-q033,p1,2,107,33,,,有關國內重要觀光餐旅紀事頒行與推動之敘述，下列何者正確？,食者將食材投入火鍋滾湯中，待其變色即可取出沾料食用，此法即──涮,食物處理過程中，最能保持原味與外型完整的烹調法──煮,把食材蒸煮好，倒入適量酒(紹興酒、黃酒)、調味料，浸泡入味後即可取出食用，此法即──醉,將糖熬煮至一定的濃稠程度，將預先炸好的食材倒入糖漿中，快速攪拌，使筷子挾起食材時可以拉出長長的糖絲，此法即──拔絲,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q33,needs-review,FALSE,
mock-p1-r2-y107-q035,p1,2,107,35,,,餐旅業者如選用「議價方式」進行原物料採購，下列相關敘述何者正確？,議價採購是以公開方式與廠商議定價格，又稱「雙方議價法」,適用於緊急需求採購或特殊物品採購,議價過程可抑制廠商哄抬價格,較符合公平競爭原則，可避免舞弊之虞,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q35,needs-review,FALSE,
mock-p1-r2-y107-q036,p1,2,107,36,,,下列旅館作業用語中，正確說明者為何？,GTD：預付訂金之保證訂房,Due Out：取消訂房,DND：跑帳,GIT：散客、一般個別旅客,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q36,needs-review,FALSE,
mock-p1-r2-y107-q037,p1,2,107,37,,,依據最新修訂公告之《民宿管理辦法》(106.11.14)規定，民宿設置如位於原住民族地區、經農業主管機關核發許可登記證之休閒農場、經農業主管機關劃定之休閒農業區、觀光地區、偏遠地區及離島地區；可設置之客房數量及其樓地板總面積合法規範分別為何？,客房數：10 間以下；客房總樓地板面積：100 平方公尺以下,客房數：10 間以下；客房總樓地板面積：150 平方公尺以下,客房數：8 間以下；客房總樓地板面積：200 平方公尺以下,客房數：15 間以下；客房總樓地板面積：400 平方公尺以下,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q37,needs-review,FALSE,
mock-p1-r2-y107-q038,p1,2,107,38,,,有關旅館房租計價方式之敘述，下列何者錯誤？,MAP 計價方式內含二餐費用,EP 計價方式未含餐食費用<sup>,</sup> <sup>BP</sup> <sup>計價方式含歐式早餐供應</sup><sub>,AP 計價方式供餐數量最多</sub>,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q38,needs-review,FALSE,
mock-p1-r2-y107-q039,p1,2,107,39,,,Marriott International集團為世界知名的國際連鎖飯店集團，下列何者不屬於此一集團？,Westin,Four Points <sub>,Le Meridien,</sub> <sub>Okura</sub>,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q39,needs-review,FALSE,
mock-p1-r2-y107-q040,p1,2,107,40,,,小陳從澳洲飛抵臺灣，並由旅館人員負責接機至下榻的旅館，此段歷程中，小陳可能接觸到的旅館服務人員，請依序排列：甲、Door Man 乙、Flight Greeter 丙、Driver 丁、Bell Man 戊、Receptionist,乙丙甲丁戊,甲乙戊丙丁,丙乙丁甲戊,戊乙丙甲丁,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q40,needs-review,FALSE,
mock-p1-r2-y107-q041,p1,2,107,41,,,有關廚房設備標準之敘述，下列何者錯誤？,Residental Hotel 多位於風景區或遠離人潮聚集的郊區，客群以渡假、療養和休閒旅客為主,Hostel 位於高速公路旁或交通主要幹道附近，客群以駕車旅遊者為主,Transit Hotel 位於機場附近，並提供接駁服務，客群以過境、轉機或短暫停留旅客為主,Metropolitan Hotel 位於人潮聚集之地，客群以商務、購物旅客為主,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q41,needs-review,FALSE,
mock-p1-r2-y107-q043,p1,2,107,43,,,下列旅館連鎖品牌中，何者非以國際連鎖經營為主軸？,Hyatt Hotels Corporation,Howard Hotel Chain Resorts Suites,Four Seasons Hotels and Resorts,Accor Hotels,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q43,needs-review,FALSE,
mock-p1-r2-y107-q044,p1,2,107,44,,,下列旅遊活動型式中，何者源於英國，以教育為目的，並盛行於18 世紀間的歐洲？,Grand Tour <sup>,</sup> <sup>Mass</sup> <sup>Travel</sup>,Pilgrimages Travel,Social Tourism,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q44,needs-review,FALSE,
mock-p1-r2-y107-q045,p1,2,107,45,,,Paella 為世界經典名餚，更是西式料理餐廳常見菜單品項；製作材料為米、橄欖油和番紅花(Saffron)，再配以各種海鮮或肉，並以身大、淺而平的專用鍋煮製而成；也因添加番紅花讓米飯染上黃色與一股特殊香氣為其一大特色。試問：Paella之發展最早源自下列何國？,西班牙,俄羅斯,葡萄牙,義大利,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q45,needs-review,FALSE,
mock-p1-r2-y107-q046,p1,2,107,46,,,有關中國歷史名廚之敘述，下列何者正確？甲、詹王是隋文帝的御廚，後世尊為酒席業祖師爺乙、伊尹撰有「湯液經」，詳載食療及各種食材之運用丙、彭祖因烹燒雉雞獻給堯帝，享封彭臣丁、易牙享有「廚神」之譽戊、魯班為外燴業者奉祀之祖師爺,甲丙丁戊,乙丙丁戊,甲乙丁戊,,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q46,needs-review,FALSE,
mock-p1-r2-y107-q047,p1,2,107,47,,,「糖醋魚排」為辰餐廳來客必點菜餚，成品每份含兩塊魚排，每塊魚排重 60 公克，生產耗損率為20%；原有庫存原料魚肉15 公斤，今製作50 份糖醋魚排後，尚餘庫存量為何？,6.5 公斤,7 公斤,7.5 公斤,8 公斤,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q47,needs-review,FALSE,
mock-p1-r2-y107-q048,p1,2,107,48,,,有關餐飲業營運支出項目之敘述，下列何者錯誤？,水電費、瓦斯費、燃料費屬半變動成本,工讀生、兼職人員薪資屬固定成本,「餐飲成本」為餐食製備過程中最主要的營業支出,食材「淨料率」愈高，愈能降低製備時的耗損成本,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q48,needs-review,FALSE,
mock-p1-r2-y107-q049,p1,2,107,49,,,有關旅館業發展記事之敘述，下列何者錯誤？,「墾丁凱撒大飯店」為臺灣首座五星級休閒渡假旅館， 由日人投資興建而成,Bill Marriott 被喻為現代商業旅館之父,汽車旅館(Motel)的發跡源自美國,臺北威斯汀六福皇宮因難以負擔沉重租金，預計107 年結束營業,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q49,needs-review,FALSE,
mock-p1-r2-y107-q050,p1,2,107,50,,,有關各國旅館評鑑等級標幟之敘述，下列何者正確？,臺灣與日本皆採用星星為認證標幟，星數愈多等級愈高,澳洲以鑽石為等級認證標幟，鑽石數愈多等級愈高,法國以星星為等級認證標幟，最高等級為五星,"馬來西亞以無窮花為等級認證標幟，分為三個等級

【以下空白】",,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q50,needs-review,FALSE,
mock-p1-r3-y107-q002,p1,3,107,2,,,觀光餐旅業商品之生產銷售，往往與消費享受同步進行，營業時間結束，即無法創造獲利性，如：航空公司當日未售完之機位，無法保留至隔日再販售。此段敘述反映出觀光餐旅業何種行業特性？,Comprehensive,Sensibility,Heterogeneity,Perishability,,D,,single-choice,117-3專一試題\auto\117-3專一試題.md#q2,needs-review,FALSE,
mock-p1-r3-y107-q003,p1,3,107,3,,,「因外來旅客從事觀光餐旅活動所帶來的外來文化影響，會與觀光地區傳統文化產生交流，進而改變當地社會原有之風俗習慣及生活習性，產生新的文化型態，導致居民適應不良問題。」此段敘述，反映出觀光餐旅活動發展產生之何種影響？,,社會雙重性 Social Dualism,,傳統文化商品化 Culture as a Commercial Commodity,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q3,needs-review,FALSE,
mock-p1-r3-y107-q004,p1,3,107,4,,,全球咖啡文化盛行，特色咖啡館更是誘人所好；堪稱「黑金」的咖啡不僅具有提神效果，「一杯咖啡的時間」還能打破僵局、拉近人際關係、暫時抽離壓力。回顧咖啡館承先啟後之發展，下列相關敘述何者錯誤？,西元1530 年世界首家咖啡屋 麥加咖啡館(Kaveh Kanes)開設於敘利亞大馬士革,西元1645 年歐洲首家咖啡屋 波迪格咖啡館(Bottegadel Caffe)開設於法國巴黎,西元1650 年英國首家咖啡館 The Angel(現更名為 Grand Café)開設於牛津大學旁,西元1676 年美國首家咖啡屋 倫敦咖啡屋(London Coffee House)開設於波士頓,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q4,needs-review,FALSE,
mock-p1-r3-y107-q005,p1,3,107,5,,,有關西餐名廚－艾斯可飛(Georges Auguste Escoffier)的敘述，下列何者不正確？,推行吃完一道菜，才服務下一道菜之菜餚服務制度,建立廚房組織人員編制及職務項目,撰著世界首部廚藝系統專書－《19 世紀法國菜的烹調藝術 L’Art de la cuisine française auXIXe siécle》,透過旅行及演說方式，將法國菜推廣至國際，成為西餐主流,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q5,needs-review,FALSE,
mock-p1-r3-y107-q006,p1,3,107,6,,,依據行政院主計處頒行之《中華民國行業標準分類》，「運動服務業」與「娛樂及休閒服務業所屬行業類別應為下列何者？,第 I 大類,第 N 大類,第 R 大類,第 S 大類,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q6,needs-review,FALSE,
mock-p1-r3-y107-q007,p1,3,107,7,,,"山水月餐廳客均價約 800 元，座位數共 30 席，3/29(五)午餐的 Turnover Rate 為 0.5，晚餐為 2；3/30(六)午餐時段的營收為 36,000 元，請問 3/29(五)的日營業額與 3/30(六)午餐的 Turnover Rate各為多少？","24,000 元；1.5","60,000 元；1.5","24,000 元；4.5","60,000 元；4.5",,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q7,needs-review,FALSE,
mock-p1-r3-y107-q008,p1,3,107,8,,,交通部觀光局為呼應全球永續觀光發展趨勢，正推動「Tourism 2020—臺灣永續觀光發展方案」，並將2018 年訂為海灣旅遊年 下列有關該方案目標之敘述，何者錯誤？,1533 年義大利凱薩林公主將義式的烹調方法、用餐禮儀及飲食文化帶到法國，影響法國菜的發展,1827 年開設在美國紐約的戴蒙尼克餐廳(Delmonico’s Restaurant)為連鎖餐廳的始祖,1802 年法國人漢尼耶(Grimod de la Reyniéve)著有美食者年鑑一書，首開美食評鑑之風,1902 年紐約開設了販賣機餐廳(Vending Machine Restaurant)，將調理食品放置於販賣機內展示陳列，為速食業發展的第一步,,A,,single-choice,117-3專一試題\auto\117-3專一試題.md#q8,needs-review,FALSE,
mock-p1-r3-y107-q010,p1,3,107,10,,,下列法國餐飲界名廚及名著之組合配對，正確者為何？,法蘭西斯‧皮耶爾(Francois Pierre de la Varenne)—法國菜藝術大全,漢尼耶(Grimod de la Reyniéve)—古典式法國菜,安東尼‧卡雷姆(Marie Antoine Caréme)—美食者年鑑,艾斯可飛(Georges Auguste Escoffier)—烹飪指南,,D,,single-choice,117-3專一試題\auto\117-3專一試題.md#q10,needs-review,FALSE,
mock-p1-r3-y107-q011,p1,3,107,11,,,下列各種異國風味料理，屬於東南亞風味的有幾道？甲、牛尾清湯 乙、燒烤豬肋排 丙、春川辣炒雞排 丁、香茅麻辣魚戊、密瓜火腿 己、娘惹糕 庚、沙爹 辛、馬賽海鮮湯,2 道,3 道,4 道,5 道,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q11,needs-review,FALSE,
mock-p1-r3-y107-q012,p1,3,107,12,,,下列哪些菜餚所屬的菜系具備「五滋六味、取材奇特」的特性？,三蛇龍虎鳳大會、龍鬚燕丸湯、佛跳牆,百花鑲豆腐、豆酥鯧魚、夫妻肺片,生菜鴿鬆、京都排骨、東江鹽焗雞,廣式烤鴨、玉麟香腰、東安子雞,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q12,needs-review,FALSE,
mock-p1-r3-y107-q013,p1,3,107,13,,,雄星旅行社為讓顧客有身歷其境之感，具體感受遊程內容及價值，於產品銷售時播放影片輔助說明﹔此種商品行銷方式源於餐旅業的哪一種特性？,Combination,Inseparability,Intangibility,Variability,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q13,needs-review,FALSE,
mock-p1-r3-y107-q014,p1,3,107,14,,,2018 年臺北首本米其林指南見證了 20 家餐廳摘星，其中「頤宮」粵式料理餐廳獲得米其林三星殊榮，請問米其林三星的星級評鑑意義為下列何者？,Very Good Cooking,Excellent Cooking,,"Exceptional Cuisine, Worth the Journey",,D,,single-choice,117-3專一試題\auto\117-3專一試題.md#q14,needs-review,FALSE,
mock-p1-r3-y107-q015,p1,3,107,15,,,餐飲業連鎖經營形態中，何者加盟方式以服務性質為主，主要目的為運用共同進貨方式降低成本，零售商以股東身分參與總公司經營，總公司無主要的領導權？,Voluntary Chain,Cooperate Chain,Regular Chain,Franchise Chain,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q15,needs-review,FALSE,
mock-p1-r3-y107-q016,p1,3,107,16,,,行動餐車機動性高，可以節省租金跟管銷成本，近年已成為許多年輕族群創業首選；此種無固定營業場所經營模式，如依經濟部商業司頒訂之《中華民國行業營業項目標準分類》，屬於 F大類—F5 餐飲業之何項？,其他餐飲業,餐館業,飲料店業,餐飲攤販業,,A,,single-choice,117-3專一試題\auto\117-3專一試題.md#q16,needs-review,FALSE,
mock-p1-r3-y107-q017,p1,3,107,17,,,有關中國各地的飲食文化特色敘述，下列何者錯誤？,北方多食麵食，南方多食米食,三大流域中，黃河流域取味於陸、長江流域海陸兼具、珠江流域取味於海,口味以東酸、西辣、南鹹、北甜為主,又分為西北羶酪、華北蔥蒜、川湘辣椒、江浙魚蝦及兩廣蛇羹等五區,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q17,needs-review,FALSE,
mock-p1-r3-y107-q018,p1,3,107,18,,,在餐飲組織的工作設計中，「將工作分為許多不同的類別或等級，其中相同價值的工作在相同薪資給付層級」，稱之為下列何者？,Job Description,Job Classification,Job Assignment,Job Specification,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q18,needs-review,FALSE,
mock-p1-r3-y107-q019,p1,3,107,19,,,下列屬於「Steward Department」的工作職責有幾項？甲、餐廳內的布置管理與清潔 乙、採購用品與器具丙、餐具管理 丁、依採購規格驗收原料及物品戊、蟲害防治 己、機器設備保養與維修,2 項,3 項,4 項,5 項,,A,,single-choice,117-3專一試題\auto\117-3專一試題.md#q19,needs-review,FALSE,
mock-p1-r3-y107-q020,p1,3,107,20,,,下列餐飲外場從業人員的職位由高到低排列，何者正確？,Directeur de Restaurant－Premier Maître d’hôtel－Maître d’hôtel de Carré－Chef de Rang－ Demi Chef de Rang－Commis de Rang,Premier Maître d’hôtel－Directeur de Restaurant－Maître d’hôtel de Carré－Chef de Rang－ Demi Chef de Rang－Commis de Rang,Directeur de Restaurant－Premier Maître d’hôtel－Maître d’hôtel de Carré－Demi Chef de Rang －Chef de Rang－Commis de Rang,Premier Maître d’hôtel－Directeur de Restaurant－Maître d’hôtel de Carré－Demi Chef de Rang －Chef de Rang－Commis de Rang,,A,,single-choice,117-3專一試題\auto\117-3專一試題.md#q20,needs-review,FALSE,
mock-p1-r3-y107-q021,p1,3,107,21,,,下列專業廚師類別中，何者專司菜餚排盤與盤飾，應具備餐飲美學涵養？,砧凳師傅 <sup>,</sup> <sup>白案師傅</sup><sub>,上什師傅,打荷師傅,,D,,single-choice,117-3專一試題\auto\117-3專一試題.md#q21,needs-review,FALSE,
mock-p1-r3-y107-q022,p1,3,107,22,,,下列食品作業場所建築與設施的敘述，何者符合《食品良好衛生規範》？,蓄水池設置地點應距離化糞池、汙穢場所等汙染源十五公尺以上,飲用水與非飲用水管路系統應完全分離，出水口也需明顯區分,工作檯面或調理檯面的照明設施應保持在一百米燭光以上,廁所應正面朝向食品作業場所以保持空氣流通,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q22,needs-review,FALSE,
mock-p1-r3-y107-q023,p1,3,107,23,,,下列旅館客務部從業人員中，隸屬於「Uniformed Service」者為何？甲、Mail Clerk 乙、Room Clerk 丙、Flight Greeter丁、Bell Man 戊、Night Clerk 己、Cloak Attendant,甲、乙、戊,乙、戊,甲、丙、丁、己,甲、丙、丁、戊、己,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q23,needs-review,FALSE,
mock-p1-r3-y107-q024,p1,3,107,24,,,有關我國住宿服務業營運管理之比較，下列敘述何者錯誤？,國際旅館床墊的尺寸，常見為 King-Size Bed  Double Bed  Queen-Size Bed  Single Bed,Connecting Room 是指兩個房間中間有門可以相通，適用於家庭旅行；Adjoining Room 則是指兩個房間相連但無門相通，適用於一般團體旅行,Triple Room 可入住的人數比 Quad Room 和 Twin Room 還多,通常在海濱區 Inside Room 的房價會高於 Outside Room,,A,,single-choice,117-3專一試題\auto\117-3專一試題.md#q24,needs-review,FALSE,
mock-p1-r3-y107-q026,p1,3,107,26,,,下列旅館組織部門中，屬於 Back of the House 的有幾個？ 甲、Housekeeping Department 乙、Public Relations Department 丙、Sales & Marketing Department 丁、Human Resources Department 戊、Front Office Department 己、Information Department,Company Own，如 Ambassador Hotel,Management Contract，如 Hotel Royal Taipei 與 Nikko Hotels International,Franchise Chain，如 Grand Hyatt Taipei 與 Hyatt International Corporation,Franchise Chain，如 Holiday Inn East Taipei 與 Holiday Inn Hotels & Resorts,,D,,single-choice,117-3專一試題\auto\117-3專一試題.md#q26,needs-review,FALSE,
mock-p1-r3-y107-q028,p1,3,107,28,,,下列哪一種類型的旅館最有可能提供「Day Use」的服務？,Apartment Hotel,Airport Hotel,Resort Hotel,Convention Hotel,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q28,needs-review,FALSE,
mock-p1-r3-y107-q029,p1,3,107,29,,,下列旅館從業人員中，何者主要職責為客衣、員工制服、客房與餐廳布巾洗滌整燙之管理？,Seamstress,Linen Staff,Office Clerk,Operator,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q29,needs-review,FALSE,
mock-p1-r3-y107-q030,p1,3,107,30,,,「好抒眠旅館」於 108 年 2 月 1 日正式開幕，其總客房數 120 間全數可售，開幕當天 C/I 90間，2 月 2 日 F.I.T C/I 10 間，G.I.T C/I 20 間，C/O 15 間；請問 2 月 2 日的 Occupancy Rate 為何？,12.5%,62.5%,80%,87.5%,,D,,single-choice,117-3專一試題\auto\117-3專一試題.md#q30,needs-review,FALSE,
mock-p1-r3-y107-q031,p1,3,107,31,,,下列連鎖旅館集團中，何者非屬國內本土企業自行投資經營管理？,Shangri-La Hotels & Resorts,L’Hotel de Chine Group,Fullon Hotels & Resorts,Evergreen International Hotels,,A,,single-choice,117-3專一試題\auto\117-3專一試題.md#q31,needs-review,FALSE,
mock-p1-r3-y107-q032,p1,3,107,32,,,旅館房價計算方式中，如以餐食提供(Meal Plans)作為計價依據，下列何者未供應肉類餐點？,Modified American Plan,Bermuda Plan,Continental Plan,American Plan,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q32,needs-review,FALSE,
mock-p1-r3-y107-q033,p1,3,107,33,,,觀光局推行星級旅館評鑑制度，至今國內已有近500 間星級旅館。2017 年更以故事、超值、美食、舒適、創意性等五大主題特色，挑選出60 家代表性業者，舉辦「星旅 60」聯合推廣活動；其中座落於花蓮的三星級旅店－「洄瀾客棧」，即以「原來有故事」為主題獲選為特色星級旅店。如依星級旅館評鑑制度判斷，該旅店最不可能獲得的評選分數為何？,350 分,450 分,550 分,650 分,,D,,single-choice,117-3專一試題\auto\117-3專一試題.md#q33,needs-review,FALSE,
mock-p1-r3-y107-q034,p1,3,107,34,,,下列旅館客房類型中，何者需依循法令規定之數量，及軟、硬體規範設置，且住用率較低？,Studio Room,Handicapped Room,Executive Room,Duplex Suite,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q34,needs-review,FALSE,
mock-p1-r3-y107-q035,p1,3,107,35,,,旅館業者如針對同一房型，採取不同價格進行銷售，下列何種價格對消費者最為優惠？,Group Rate,Complimentary,Peak Season Room Rate,Rack Rate,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q35,needs-review,FALSE,
mock-p1-r3-y107-q036,p1,3,107,36,,,有關旅館從業人員的職稱與工作內容之配對，下列何者錯誤？,Door Man：維持旅館大門車道暢通及環境之整齊,Office Clerk：負責客房內冰箱飲料帳單登錄到銷售日報表,Porter：負責車輛之定期保養及記錄,Guest Relation Officer：接待飯店 VIP 會員、常客及簽約公司的客人,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q36,needs-review,FALSE,
mock-p1-r3-y107-q037,p1,3,107,37,,,下列世界主要旅遊城市中，隸屬於 IATA第三運務區(TC3)者為何？,TPE、SYD、BKK、BJS,TPE、SYD、NYC、SEA,NYC、SEA、LAX、YVR,NYC、SEA、FRA、PAR,,A,,single-choice,117-3專一試題\auto\117-3專一試題.md#q37,needs-review,FALSE,
mock-p1-r3-y107-q038,p1,3,107,38,,,現行外交部領事事務局核發之護照(Passport)種類中，如無特殊情況，國人申辦使用效期最長者為何？,觀光護照,普通護照,公務護照,外交護照,,B,,single-choice,117-3專一試題\auto\117-3專一試題.md#q38,needs-review,FALSE,
mock-p1-r3-y107-q039,p1,3,107,39,,,有關我國旅行業法定經營規範之敘述，下列何者正確？,合法旅行業應具備經濟部商業司核發之營業執照，及交通部觀光局核發之公司設立登記證,經營旅行業者，應先向地方主管機關申請核准，並依法辦妥公司登記後，領取旅行業執照，始得營業,旅行業應專業經營，以財團法人組織為限；並應於公司名稱上標明旅行社字樣,旅行業應設有固定之營業處所，同一處所內不得為二家營利事業共同使用。但符合公司法所稱關係企業者，得共同使用同一處所,,D,,single-choice,117-3專一試題\auto\117-3專一試題.md#q39,needs-review,FALSE,
mock-p1-r3-y107-q040,p1,3,107,40,,,依據《旅行業管理規則》之規定，不論是總公司或分公司，至少應設置一位專業經理人綜理公司業務，且經理人需具備法定條件才能申請參加受訓，經訓練合格使得聘任。下列有關旅行業專業經理人背景條件之敘述，受訓資格不符者為何？,阿花於大學觀光系畢業後，在雄獅旅行社擔任專業職員已滿3 年,阿珠國中畢業後未升學，在旅行社擔任遊程企劃已逾10 年,阿宜於高中畢業後，在交通部觀光局擔任職員4.5 年,阿軒五專畢業後，在臺灣高鐵擔任站務督導4 年,,C,,single-choice,117-3專一試題\auto\117-3專一試題.md#q40,needs-review,FALSE,
